id,prompt,intents
623,Not sure but looks like today’s accidents around Toa Payoh and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
624,Help me understand post-incident recovery at AYE westbound right now?,['incident_detection']
625,Pls show forecast for the next hour around Marina Bay no visualisation needed.,"['traffic_forecasting', 'spatio_temporal', 'visualization']"
626,Show me recent breakdowns at AYE westbound no visualisation needed.,"['incident_detection', 'visualization']"
627,Could you find out accident clusters near Changi,"['incident_detection', 'spatio_temporal']"
628,Looks like the impact level near Sengkang just now?,"['spatio_temporal', 'traffic_impact']"
629,"Hey, can you check traffic situation around Toa Payoh for the last hour?",['spatio_temporal']
630,I'm seeing unusual readings near the spatio-temporal pattern in the northern sector,"['traffic_anomaly', 'spatio_temporal']"
631,Is there any update on roadwork impact at AYE westbound for the evening peak?,['traffic_impact']
632,Help me understand the congestion trend around Jurong East for the last hour?,"['spatio_temporal', 'traffic_impact']"
633,I suspect forecast for the next hour along the PIE and compare with yesterday.,['traffic_forecasting']
634,Need info on whether weather is affecting traffic around Woodlands checkpoint,"['spatio_temporal', 'meta_attributes']"
635,Show me today’s accidents around Woodlands checkpoint,"['incident_detection', 'spatio_temporal']"
636,I think something's off whether weather is affecting traffic around Jurong East,"['spatio_temporal', 'meta_attributes']"
637,Can we confirm today’s accidents central region and check weather too.,"['incident_detection', 'meta_attributes']"
638,Any idea why roadwork impact at expressway interchanges just now?,"['causal_analysis', 'traffic_impact']"
639,I'm seeing unusual readings near travel time delays near Changi and show a quick chart.,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact', 'visualization']"
640,"Hey, can you check forecast for the next hour near Changi if possible.","['traffic_forecasting', 'spatio_temporal']"
641,Help me understand incident severity near KPE tunnels right now?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
642,Help me understand the impact level around Jurong East without the minor events.,"['spatio_temporal', 'traffic_impact']"
643,"Hey, can you check the volume spike around Marina Bay in simple terms pls.",['spatio_temporal']
644,Any idea why incident severity around Marina Bay no visualisation needed.,"['causal_analysis', 'incident_detection', 'incident_classification', 'spatio_temporal', 'visualization']"
645,Any idea why travel time delays around Toa Payoh excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
646,Looks like if there's an incident at AYE westbound,['incident_detection']
647,I think something's off incident severity along the PIE since morning?,"['incident_detection', 'incident_classification']"
648,Pls show incident severity along the PIE without the minor events.,"['incident_detection', 'incident_classification']"
649,Need info on any anomalies around Marina Bay,"['traffic_anomaly', 'spatio_temporal']"
650,Looks like the speed drop if possible.,[]
651,I think something's off whether weather is affecting traffic near Sengkang and compare with yesterday.,"['spatio_temporal', 'meta_attributes']"
652,Any idea why the impact level around Woodlands checkpoint for the last hour?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
653,Can we confirm if there's an incident near CTE Braddell for the last hour?,"['incident_detection', 'spatio_temporal']"
654,Pls show the spatio-temporal pattern along the PIE and compare with yesterday.,['spatio_temporal']
655,Can we confirm whether weather is affecting traffic along Thomson Road and check weather too.,['meta_attributes']
656,Help me understand forecast for the next hour near Sengkang without the minor events.,"['traffic_forecasting', 'spatio_temporal']"
657,Do we know recent breakdowns near Sengkang but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
658,Any idea why incident severity in the northern sector in simple terms pls.,"['causal_analysis', 'incident_detection', 'incident_classification', 'spatio_temporal']"
659,I'm seeing unusual readings near accident clusters at AYE westbound,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
660,Could you find out the volume spike downtown CBD right now?,[]
661,I'm seeing unusual readings near recent breakdowns around Woodlands checkpoint right now?,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
662,Looks like if there's an incident if possible.,['incident_detection']
663,"Hey, can you check today’s accidents near Changi without the minor events.","['incident_detection', 'spatio_temporal']"
664,Is there any update on if there's an incident along the PIE and compare with yesterday.,['incident_detection']
665,Need info on post-incident recovery in the northern sector for the evening peak?,"['incident_detection', 'spatio_temporal']"
666,Pls show today’s accidents around Toa Payoh,"['incident_detection', 'spatio_temporal']"
667,Any idea why if there's an incident downtown CBD,"['causal_analysis', 'incident_detection']"
668,Not sure but looks like if sensors are behaving weird at expressway interchanges for the last hour?,['traffic_anomaly']
669,Show me post-incident recovery at AYE westbound since morning?,['incident_detection']
670,Show me the impact level near Changi but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
671,Can you check if there's an incident at AYE westbound since morning?,['incident_detection']
672,Double check post-incident recovery around Punggol just now?,"['incident_detection', 'spatio_temporal']"
673,Can we confirm what caused the jam around Punggol and compare with yesterday.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
674,Need info on the volume spike near Changi and check weather too.,"['spatio_temporal', 'meta_attributes']"
675,Can you check recent breakdowns at expressway interchanges for the evening peak?,['incident_detection']
676,Help me understand the congestion trend around Marina Bay and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
677,Pls show the impact level around Jurong East today?,"['spatio_temporal', 'traffic_impact']"
678,I'm seeing unusual readings near the speed drop along Thomson Road for the evening peak?,"['traffic_anomaly', 'spatio_temporal']"
679,Any idea why the impact level around Jurong East but don't forecast anything yet.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
680,Need info on today’s accidents around Marina Bay,"['incident_detection', 'spatio_temporal']"
681,Help me understand the congestion trend around Woodlands checkpoint but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
682,Can we confirm whether it's due to roadwork near Sengkang just now?,['spatio_temporal']
683,I think something's off accident clusters around Woodlands checkpoint if possible.,"['incident_detection', 'spatio_temporal']"
684,"Hey, can you check the congestion trend around Woodlands checkpoint but don't forecast anything yet.","['spatio_temporal', 'traffic_impact']"
685,Help me understand whether weather is affecting traffic around Punggol right now?,"['spatio_temporal', 'meta_attributes']"
686,Not sure but looks like post-incident recovery along the PIE for the last hour?,['incident_detection']
687,Show me roadwork impact near KPE tunnels no visualisation needed.,"['spatio_temporal', 'traffic_impact', 'visualization']"
688,I think something's off the impact level near CTE Braddell today?,"['spatio_temporal', 'traffic_impact']"
689,Double check accident clusters along Thomson Road excluding heavy traffic alerts.,['incident_detection']
690,Help me understand if sensors are behaving weird near Changi since morning?,"['traffic_anomaly', 'spatio_temporal']"
691,Please pull up accident clusters around Toa Payoh in simple terms pls.,"['incident_detection', 'spatio_temporal']"
692,Double check the congestion trend near KPE tunnels and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
693,I suspect if there's an incident at expressway interchanges,['incident_detection']
694,I think something's off the spatio-temporal pattern central region without the minor events.,['spatio_temporal']
695,Someone reported recent breakdowns around Toa Payoh and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
696,Help me understand if sensors are behaving weird around Toa Payoh but don't forecast anything yet.,"['traffic_anomaly', 'spatio_temporal']"
697,Not sure but looks like the congestion trend around Toa Payoh and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
698,Do we know recent breakdowns central region and show a quick chart.,"['incident_detection', 'visualization']"
699,Could you find out what caused the jam near KPE tunnels excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
700,Help me understand today’s accidents and show a quick chart.,"['incident_detection', 'visualization']"
701,Can we confirm traffic situation at expressway interchanges and show a quick chart.,['visualization']
702,Can we confirm the congestion trend no visualisation needed.,"['traffic_impact', 'visualization']"
703,I think something's off if there's an incident near Sengkang,"['incident_detection', 'spatio_temporal']"
704,Double check the volume spike around Woodlands checkpoint just now?,['spatio_temporal']
705,Looks like whether it's due to roadwork near Changi right now?,['spatio_temporal']
706,"Hey, can you check the spatio-temporal pattern around Woodlands checkpoint and show a quick chart.","['spatio_temporal', 'visualization']"
707,Can we confirm what caused the jam near KPE tunnels in simple terms pls.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
708,Is there any update on incident severity around Toa Payoh no visualisation needed.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'visualization']"
709,"Hey, can you check if sensors are behaving weird along the PIE since morning?",['traffic_anomaly']
710,Double check traffic situation around Woodlands checkpoint for the evening peak?,['spatio_temporal']
711,Do we know the congestion trend around Toa Payoh,"['spatio_temporal', 'traffic_impact']"
712,Can you check the impact level central region if possible.,['traffic_impact']
713,Show me the congestion trend near Sengkang without the minor events.,"['spatio_temporal', 'traffic_impact']"
714,Please pull up the speed drop near Sengkang for the evening peak?,['spatio_temporal']
715,Help me understand today’s accidents near CTE Braddell but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
716,Do we know recent breakdowns downtown CBD no visualisation needed.,"['incident_detection', 'visualization']"
717,Is there any update on today’s accidents near Sengkang if possible.,"['incident_detection', 'spatio_temporal']"
718,Do we know whether weather is affecting traffic near KPE tunnels and check weather too.,"['spatio_temporal', 'meta_attributes']"
719,Need info on the congestion trend in the northern sector right now?,"['spatio_temporal', 'traffic_impact']"
720,Can we confirm the congestion trend around Woodlands checkpoint and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
721,Is there any update on travel time delays near CTE Braddell for the last hour?,"['spatio_temporal', 'traffic_impact']"
722,"Hey, can you check whether it's due to roadwork along Thomson Road today?",[]
723,Do we know traffic situation along the PIE and show a quick chart.,['visualization']
724,Not sure but looks like forecast for the next hour at AYE westbound right now?,['traffic_forecasting']
725,Show me whether weather is affecting traffic around Toa Payoh just now?,"['spatio_temporal', 'meta_attributes']"
726,Show me if sensors are behaving weird around Punggol no visualisation needed.,"['traffic_anomaly', 'spatio_temporal', 'visualization']"
727,Is there any update on accident clusters near Sengkang just now?,"['incident_detection', 'spatio_temporal']"
728,Do we know traffic situation near KPE tunnels in simple terms pls.,['spatio_temporal']
729,Please pull up traffic situation at expressway interchanges but don't forecast anything yet.,[]
730,Not sure but looks like the congestion trend in the northern sector for the last hour?,"['spatio_temporal', 'traffic_impact']"
731,Quick check: the volume spike around Jurong East since morning?,['spatio_temporal']
732,Can we confirm if there's an incident around Toa Payoh just now?,"['incident_detection', 'spatio_temporal']"
733,Can we confirm roadwork impact around Woodlands checkpoint and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
734,Show me the impact level central region and show a quick chart.,"['traffic_impact', 'visualization']"
735,Can you check what caused the jam around Toa Payoh for the evening peak?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
736,I'm seeing unusual readings near traffic situation near CTE Braddell and check weather too.,"['traffic_anomaly', 'spatio_temporal', 'meta_attributes']"
737,I think something's off today’s accidents central region in simple terms pls.,['incident_detection']
738,Need info on the volume spike around Toa Payoh excluding heavy traffic alerts.,['spatio_temporal']
739,Pls show why traffic is slowing down at AYE westbound no visualisation needed.,"['causal_analysis', 'visualization']"
740,Could you find out incident severity at AYE westbound but don't forecast anything yet.,"['incident_detection', 'incident_classification']"
741,Someone reported accident clusters near Changi if possible.,"['incident_detection', 'spatio_temporal']"
742,I suspect roadwork impact near CTE Braddell if possible.,"['spatio_temporal', 'traffic_impact']"
743,Looks like recent breakdowns near Changi just now?,"['incident_detection', 'spatio_temporal']"
744,Is there any update on recent breakdowns near Changi no visualisation needed.,"['incident_detection', 'spatio_temporal', 'visualization']"
745,Need info on accident clusters downtown CBD if possible.,['incident_detection']
746,Need info on if there's an incident central region but don't forecast anything yet.,['incident_detection']
747,I think something's off any anomalies near Changi since morning?,"['traffic_anomaly', 'spatio_temporal']"
748,Someone reported the volume spike near CTE Braddell if possible.,['spatio_temporal']
749,Someone reported accident clusters around Punggol without the minor events.,"['incident_detection', 'spatio_temporal']"
750,I think something's off post-incident recovery around Marina Bay without the minor events.,"['incident_detection', 'spatio_temporal']"
751,Pls show travel time delays near CTE Braddell today?,"['spatio_temporal', 'traffic_impact']"
752,Help me understand whether it's due to roadwork along the PIE right now?,[]
753,Please pull up the impact level near CTE Braddell just now?,"['spatio_temporal', 'traffic_impact']"
754,Double check whether weather is affecting traffic along Thomson Road excluding heavy traffic alerts.,['meta_attributes']
755,Show me the congestion trend today?,['traffic_impact']
756,Could you find out why traffic is slowing down near Sengkang in simple terms pls.,"['causal_analysis', 'spatio_temporal']"
757,Looks like the congestion trend around Toa Payoh just now?,"['spatio_temporal', 'traffic_impact']"
758,"Hey, can you check recent breakdowns around Toa Payoh just now?","['incident_detection', 'spatio_temporal']"
759,I'm seeing unusual readings near why traffic is slowing down near CTE Braddell no visualisation needed.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal', 'visualization']"
760,Need info on what caused the jam central region and compare with yesterday.,"['causal_analysis', 'traffic_impact']"
761,I'm seeing unusual readings near if there's an incident near Sengkang for the last hour?,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
762,Need info on post-incident recovery along Thomson Road for the evening peak?,['incident_detection']
763,Not sure but looks like if there's an incident along the PIE today?,['incident_detection']
764,Show me the impact level around Punggol for the evening peak?,"['spatio_temporal', 'traffic_impact']"
765,Could you find out whether weather is affecting traffic near KPE tunnels,"['spatio_temporal', 'meta_attributes']"
766,"Hey, can you check what caused the jam near CTE Braddell just now?","['causal_analysis', 'spatio_temporal', 'traffic_impact']"
767,Double check what caused the jam near Changi today?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
768,Quick check: forecast for the next hour in the northern sector and compare with yesterday.,"['traffic_forecasting', 'spatio_temporal']"
769,Double check roadwork impact downtown CBD excluding heavy traffic alerts.,['traffic_impact']
770,Looks like whether it's due to roadwork near KPE tunnels for the last hour?,['spatio_temporal']
771,Show me travel time delays near Changi and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
772,Could you find out whether weather is affecting traffic along Thomson Road right now?,['meta_attributes']
773,Looks like if sensors are behaving weird around Woodlands checkpoint just now?,"['traffic_anomaly', 'spatio_temporal']"
774,Any idea why traffic situation near CTE Braddell no visualisation needed.,"['causal_analysis', 'spatio_temporal', 'visualization']"
775,Please pull up accident clusters along the PIE in simple terms pls.,['incident_detection']
776,Please pull up if sensors are behaving weird for the last hour?,['traffic_anomaly']
777,Looks like if there's an incident near Changi for the evening peak?,"['incident_detection', 'spatio_temporal']"
778,Show me why traffic is slowing down in the northern sector and compare with yesterday.,"['causal_analysis', 'spatio_temporal']"
779,Do we know the congestion trend along the PIE,['traffic_impact']
780,I think something's off the congestion trend central region,['traffic_impact']
781,Need info on the volume spike around Marina Bay if possible.,['spatio_temporal']
782,Looks like accident clusters at AYE westbound and check weather too.,"['incident_detection', 'meta_attributes']"
783,Is there any update on the volume spike,[]
784,Pls show forecast for the next hour along Thomson Road since morning?,['traffic_forecasting']
785,Looks like the speed drop near Changi right now?,['spatio_temporal']
786,"Hey, can you check any anomalies near Changi just now?","['traffic_anomaly', 'spatio_temporal']"
787,Do we know travel time delays around Jurong East without the minor events.,"['spatio_temporal', 'traffic_impact']"
788,Can you check recent breakdowns along Thomson Road just now?,['incident_detection']
789,Can we confirm post-incident recovery in the northern sector today?,"['incident_detection', 'spatio_temporal']"
790,Show me if sensors are behaving weird around Jurong East for the last hour?,"['traffic_anomaly', 'spatio_temporal']"
791,Help me understand the impact level near Sengkang without the minor events.,"['spatio_temporal', 'traffic_impact']"
792,Show me if there's an incident around Punggol for the evening peak?,"['incident_detection', 'spatio_temporal']"
793,Please pull up any anomalies at expressway interchanges right now?,['traffic_anomaly']
794,Not sure but looks like if there's an incident near CTE Braddell for the last hour?,"['incident_detection', 'spatio_temporal']"
795,Quick check: roadwork impact near Changi in simple terms pls.,"['spatio_temporal', 'traffic_impact']"
796,Pls show whether it's due to roadwork central region since morning?,[]
797,Can we confirm recent breakdowns around Woodlands checkpoint but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
798,Could you find out the speed drop around Marina Bay since morning?,['spatio_temporal']
799,Someone reported the congestion trend at expressway interchanges excluding heavy traffic alerts.,['traffic_impact']
800,Not sure but looks like the volume spike near KPE tunnels,['spatio_temporal']
801,Can you check post-incident recovery central region since morning?,['incident_detection']
802,Please pull up incident severity near KPE tunnels,"['incident_detection', 'incident_classification', 'spatio_temporal']"
803,I'm seeing unusual readings near any anomalies around Toa Payoh for the last hour?,"['traffic_anomaly', 'spatio_temporal']"
804,"Hey, can you check the volume spike around Woodlands checkpoint and check weather too.","['spatio_temporal', 'meta_attributes']"
805,Any idea why traffic situation around Marina Bay for the last hour?,"['causal_analysis', 'spatio_temporal']"
806,Can you check the speed drop near KPE tunnels,['spatio_temporal']
807,Quick check: incident severity at AYE westbound for the evening peak?,"['incident_detection', 'incident_classification']"
808,Quick check: the speed drop downtown CBD for the evening peak?,[]
809,Quick check: today’s accidents along the PIE,['incident_detection']
810,Double check if sensors are behaving weird near Changi and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
811,I'm seeing unusual readings near if sensors are behaving weird around Woodlands checkpoint and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
812,Can we confirm what caused the jam at AYE westbound right now?,"['causal_analysis', 'traffic_impact']"
813,Someone reported the spatio-temporal pattern around Jurong East but don't forecast anything yet.,['spatio_temporal']
814,Pls show whether it's due to roadwork around Marina Bay,['spatio_temporal']
815,I'm seeing unusual readings near any anomalies near KPE tunnels for the evening peak?,"['traffic_anomaly', 'spatio_temporal']"
816,Show me today’s accidents central region for the last hour?,['incident_detection']
817,Double check if sensors are behaving weird near Sengkang right now?,"['traffic_anomaly', 'spatio_temporal']"
818,Show me the impact level today?,['traffic_impact']
819,Help me understand forecast for the next hour around Punggol since morning?,"['traffic_forecasting', 'spatio_temporal']"
820,Quick check: recent breakdowns near Sengkang,"['incident_detection', 'spatio_temporal']"
821,Could you find out the speed drop along the PIE no visualisation needed.,['visualization']
822,Double check whether it's due to roadwork at AYE westbound today?,[]
823,Looks like today’s accidents at AYE westbound without the minor events.,['incident_detection']
824,Need info on the speed drop along Thomson Road just now?,[]
825,Pls show the volume spike today?,[]
826,Quick check: if sensors are behaving weird downtown CBD and show a quick chart.,"['traffic_anomaly', 'visualization']"
827,Not sure but looks like what caused the jam around Woodlands checkpoint since morning?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
828,Could you find out if there's an incident just now?,['incident_detection']
829,I'm seeing unusual readings near incident severity near KPE tunnels,"['incident_detection', 'incident_classification', 'traffic_anomaly', 'spatio_temporal']"
830,Quick check: roadwork impact along the PIE for the last hour?,['traffic_impact']
831,I suspect if sensors are behaving weird along Thomson Road but don't forecast anything yet.,['traffic_anomaly']
832,Pls show traffic situation around Marina Bay right now?,['spatio_temporal']
833,Someone reported travel time delays at expressway interchanges no visualisation needed.,"['traffic_impact', 'visualization']"
834,Show me accident clusters at expressway interchanges no visualisation needed.,"['incident_detection', 'visualization']"
835,Need info on incident severity in the northern sector in simple terms pls.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
836,Please pull up the volume spike in the northern sector no visualisation needed.,"['spatio_temporal', 'visualization']"
837,"Hey, can you check whether it's due to roadwork at AYE westbound without the minor events.",[]
838,Double check today’s accidents along Thomson Road excluding heavy traffic alerts.,['incident_detection']
839,I suspect accident clusters near CTE Braddell,"['incident_detection', 'spatio_temporal']"
840,Someone reported accident clusters near CTE Braddell excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
841,Please pull up post-incident recovery around Toa Payoh since morning?,"['incident_detection', 'spatio_temporal']"
842,I think something's off the congestion trend around Punggol,"['spatio_temporal', 'traffic_impact']"
843,I think something's off the speed drop around Punggol if possible.,['spatio_temporal']
844,Please pull up recent breakdowns central region,['incident_detection']
845,Could you find out if sensors are behaving weird near CTE Braddell right now?,"['traffic_anomaly', 'spatio_temporal']"
846,I think something's off if sensors are behaving weird around Marina Bay but don't forecast anything yet.,"['traffic_anomaly', 'spatio_temporal']"
847,Is there any update on today’s accidents near Sengkang,"['incident_detection', 'spatio_temporal']"
848,I think something's off incident severity around Toa Payoh for the last hour?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
849,Is there any update on traffic situation and show a quick chart.,['visualization']
850,Can we confirm post-incident recovery near CTE Braddell,"['incident_detection', 'spatio_temporal']"
851,Do we know travel time delays at AYE westbound for the last hour?,['traffic_impact']
852,Pls show the impact level around Jurong East just now?,"['spatio_temporal', 'traffic_impact']"
853,Show me the congestion trend along the PIE since morning?,['traffic_impact']
854,Someone reported if there's an incident near Changi for the last hour?,"['incident_detection', 'spatio_temporal']"
855,Help me understand the speed drop without the minor events.,[]
856,Someone reported whether it's due to roadwork near CTE Braddell and compare with yesterday.,['spatio_temporal']
857,Could you find out roadwork impact along the PIE if possible.,['traffic_impact']
858,Show me recent breakdowns at AYE westbound just now?,['incident_detection']
859,Can we confirm why traffic is slowing down near KPE tunnels no visualisation needed.,"['causal_analysis', 'spatio_temporal', 'visualization']"
860,Could you find out the impact level around Jurong East today?,"['spatio_temporal', 'traffic_impact']"
861,Quick check: the spatio-temporal pattern around Toa Payoh and compare with yesterday.,['spatio_temporal']
862,Pls show the spatio-temporal pattern just now?,['spatio_temporal']
863,Quick check: what caused the jam in the northern sector and show a quick chart.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
864,Not sure but looks like incident severity at AYE westbound,"['incident_detection', 'incident_classification']"
865,Please pull up why traffic is slowing down around Jurong East but don't forecast anything yet.,"['causal_analysis', 'spatio_temporal']"
866,Pls show accident clusters at expressway interchanges for the evening peak?,['incident_detection']
867,Double check the speed drop around Marina Bay for the last hour?,['spatio_temporal']
868,Need info on forecast for the next hour near KPE tunnels just now?,"['traffic_forecasting', 'spatio_temporal']"
869,Could you find out post-incident recovery at AYE westbound and check weather too.,"['incident_detection', 'meta_attributes']"
870,Can we confirm whether it's due to roadwork near KPE tunnels today?,['spatio_temporal']
871,Please pull up whether it's due to roadwork around Toa Payoh for the evening peak?,['spatio_temporal']
872,Need info on the speed drop near CTE Braddell if possible.,['spatio_temporal']
873,Can you check the congestion trend at AYE westbound no visualisation needed.,"['traffic_impact', 'visualization']"
874,Can you check today’s accidents around Punggol just now?,"['incident_detection', 'spatio_temporal']"
875,Double check whether weather is affecting traffic downtown CBD,['meta_attributes']
876,I think something's off the spatio-temporal pattern around Punggol,['spatio_temporal']
877,Show me roadwork impact around Jurong East since morning?,"['spatio_temporal', 'traffic_impact']"
878,Do we know accident clusters around Punggol since morning?,"['incident_detection', 'spatio_temporal']"
879,Help me understand the congestion trend central region,['traffic_impact']
880,Can you check accident clusters around Jurong East if possible.,"['incident_detection', 'spatio_temporal']"
881,Is there any update on forecast for the next hour but don't forecast anything yet.,[]
882,Can you check travel time delays central region but don't forecast anything yet.,['traffic_impact']
883,Can we confirm today’s accidents around Toa Payoh right now?,"['incident_detection', 'spatio_temporal']"
884,I'm seeing unusual readings near the volume spike near Changi today?,"['traffic_anomaly', 'spatio_temporal']"
885,Please pull up the volume spike around Punggol,['spatio_temporal']
886,"Hey, can you check incident severity around Jurong East in simple terms pls.","['incident_detection', 'incident_classification', 'spatio_temporal']"
887,Please pull up the spatio-temporal pattern downtown CBD,['spatio_temporal']
888,Could you find out whether it's due to roadwork and compare with yesterday.,[]
889,Pls show any anomalies in the northern sector,"['traffic_anomaly', 'spatio_temporal']"
890,Double check why traffic is slowing down around Woodlands checkpoint for the last hour?,"['causal_analysis', 'spatio_temporal']"
891,Do we know the impact level near Changi and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
892,Pls show what caused the jam along the PIE right now?,"['causal_analysis', 'traffic_impact']"
893,I'm seeing unusual readings near the speed drop around Punggol in simple terms pls.,"['traffic_anomaly', 'spatio_temporal']"
894,Can we confirm the volume spike central region just now?,[]
895,I suspect the impact level near CTE Braddell and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
896,Help me understand today’s accidents around Woodlands checkpoint and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
897,Do we know recent breakdowns along the PIE,['incident_detection']
898,Help me understand if there's an incident along the PIE right now?,['incident_detection']
899,Is there any update on why traffic is slowing down at AYE westbound if possible.,['causal_analysis']
900,Pls show the spatio-temporal pattern downtown CBD for the last hour?,['spatio_temporal']
901,Double check any anomalies around Jurong East,"['traffic_anomaly', 'spatio_temporal']"
902,Any idea why today’s accidents along the PIE just now?,"['causal_analysis', 'incident_detection']"
903,Need info on what caused the jam at AYE westbound for the last hour?,"['causal_analysis', 'traffic_impact']"
904,Need info on traffic situation along Thomson Road since morning?,[]
905,Can you check what caused the jam along Thomson Road today?,"['causal_analysis', 'traffic_impact']"
906,Looks like if there's an incident at AYE westbound without the minor events.,['incident_detection']
907,Someone reported traffic situation at AYE westbound right now?,[]
908,Someone reported traffic situation near Changi in simple terms pls.,['spatio_temporal']
909,Any idea why the volume spike downtown CBD and compare with yesterday.,['causal_analysis']
910,I think something's off if sensors are behaving weird near Sengkang since morning?,"['traffic_anomaly', 'spatio_temporal']"
911,Show me the impact level around Jurong East right now?,"['spatio_temporal', 'traffic_impact']"
912,Please pull up any anomalies near CTE Braddell without the minor events.,"['traffic_anomaly', 'spatio_temporal']"
913,Can you check incident severity around Punggol just now?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
914,Do we know if sensors are behaving weird along Thomson Road,['traffic_anomaly']
915,Please pull up the volume spike around Jurong East for the last hour?,['spatio_temporal']
916,Quick check: if there's an incident central region but don't forecast anything yet.,['incident_detection']
917,Can we confirm if there's an incident around Woodlands checkpoint and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
918,Could you find out traffic situation around Marina Bay just now?,['spatio_temporal']
919,I'm seeing unusual readings near recent breakdowns around Jurong East and check weather too.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal', 'meta_attributes']"
920,I think something's off traffic situation near KPE tunnels and compare with yesterday.,['spatio_temporal']
921,Please pull up incident severity in the northern sector if possible.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
922,I think something's off the speed drop near CTE Braddell for the evening peak?,['spatio_temporal']
923,Help me understand accident clusters and check weather too.,"['incident_detection', 'meta_attributes']"
924,Pls show roadwork impact around Punggol right now?,"['spatio_temporal', 'traffic_impact']"
925,Show me the volume spike around Punggol no visualisation needed.,"['spatio_temporal', 'visualization']"
926,I think something's off what caused the jam if possible.,"['causal_analysis', 'traffic_impact']"
927,Someone reported post-incident recovery along Thomson Road for the last hour?,['incident_detection']
928,Show me post-incident recovery central region for the last hour?,['incident_detection']
929,Is there any update on recent breakdowns around Toa Payoh and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
930,I'm seeing unusual readings near travel time delays along the PIE for the last hour?,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
931,I'm seeing unusual readings near the impact level around Marina Bay and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
932,"Hey, can you check whether it's due to roadwork along the PIE and show a quick chart.",['visualization']
933,I'm seeing unusual readings near recent breakdowns at AYE westbound no visualisation needed.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal', 'visualization']"
934,Need info on whether weather is affecting traffic at expressway interchanges right now?,['meta_attributes']
935,Not sure but looks like travel time delays in the northern sector today?,"['spatio_temporal', 'traffic_impact']"
936,Do we know the spatio-temporal pattern along Thomson Road and check weather too.,"['spatio_temporal', 'meta_attributes']"
937,"Hey, can you check traffic situation around Marina Bay and compare with yesterday.",['spatio_temporal']
938,Need info on if there's an incident near Changi and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
939,Double check the speed drop around Jurong East and compare with yesterday.,['spatio_temporal']
940,Show me if there's an incident at AYE westbound without the minor events.,['incident_detection']
941,I think something's off the speed drop downtown CBD without the minor events.,[]
942,Looks like travel time delays around Woodlands checkpoint and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
943,Pls show the impact level along Thomson Road in simple terms pls.,['traffic_impact']
944,Quick check: the spatio-temporal pattern around Marina Bay and compare with yesterday.,['spatio_temporal']
945,Can we confirm post-incident recovery central region,['incident_detection']
